"","Postcode","Constituency","Region"
"1","WD6 4LA","Hertsmere","East of England"
"2","NN3 6BZ","Northampton North","East Midlands"
"3","TS1 5PE","Middlesbrough","North East"
"4","GU8 5DA","South West Surrey","South East"
"5","EH4 4JQ","Edinburgh North and Leith","Scotland"
"6","RH20 4PD","Arundel and South Downs","South East"
"7","PR7 6PY","Chorley","North West"
"8","N22 5JE","Hornsey and Wood Green","London"
"9","ME10 3LA","Sittingbourne and Sheppey","South East"
"10","DE45 1RL","Derbyshire Dales","East Midlands"
"11","WF2 9HF","Wakefield","Yorkshire and The Humber"
"12","KT24 6SB","Mole Valley","South East"
"13","NG19 7GD","Mansfield","East Midlands"
"14","CM11 1AA","Basildon and Billericay","East of England"
"15","HP16 9QG","Chesham and Amersham","South East"
"16","GU5 9RN","Mole Valley","South East"
"17","MK44 3PR","North East Bedfordshire","East of England"
"18","AB42 0TP","Banff and Buchan","Scotland"
"19","NR29 3TL","Great Yarmouth","East of England"
"20","BS99 6AY","Bristol South","South West"
"21","BA15 1EQ","Chippenham","South West"
"22","L5 2PL","Liverpool, Riverside","North West"
"23","EX18 7AH","North Devon","South West"
"24","EN11 0AS","Broxbourne","East of England"
"25","CF82 7DD","Caerphilly","Wales"
"26","G60 5AX","West Dunbartonshire","Scotland"
"27","SN6 8DT","Wantage","South East"
"28","WS10 9TQ","Walsall South","West Midlands"
"29","ME18 6BQ","Maidstone and The Weald","South East"
"30","LS14 1DA","Leeds East","Yorkshire and The Humber"
"31","W7 1JW","Ealing North","London"
"32","NE29 8NA","Tynemouth","North East"
"33","WV13 3BF","Walsall North","West Midlands"
"34","NW3 3QA","Holborn and St Pancras","London"
"35","PO21 1PJ","Bognor Regis and Littlehampton","South East"
"36","NE27 0RW","Tynemouth","North East"
"37","BS36 1BL","Filton and Bradley Stoke","South West"
"38","EH32 9FL","East Lothian","Scotland"
"39","SK13 1JR","High Peak","East Midlands"
"40","CW6 9EX","Eddisbury","North West"
"41","TN9 2UX","Tonbridge and Malling","South East"
"42","CM23 2PN","Hertford and Stortford","East of England"
"43","RG1 1JB","Reading East","South East"
"44","AL2 2LS","St Albans","East of England"
"45","DN1 2QR","Doncaster Central","Yorkshire and The Humber"
"46","TR15 3JQ","Camborne and Redruth","South West"
"47","RG7 4SW","Reading West","South East"
"48","SK8 3AX","Cheadle","North West"
"49","IG11 0HQ","Barking","London"
"50","PE22 8RJ","Boston and Skegness","East Midlands"
"51","CO5 7NH","Harwich and North Essex","East of England"
"52","HG2 7HA","Harrogate and Knaresborough","Yorkshire and The Humber"
"53","AB15 9NY","Aberdeen South","Scotland"
"54","L23 9TB","Sefton Central","North West"
"55","SW1Y 4AN","Cities of London and Westminster","London"
"56","NG10 3HT","Erewash","East Midlands"
"57","EH15 3HR","Edinburgh East","Scotland"
"58","WA10 9TG","St Helens South and Whiston","North West"
"59","NG10 4HD","Erewash","East Midlands"
"60","LN11 8UR","Louth and Horncastle","East Midlands"
"61","NE66 4LZ","Berwick-upon-Tweed","North East"
"62","SE27 0UF","Dulwich and West Norwood","London"
"63","BS36 1AJ","Kingswood","South West"
"64","LS25 7FP","Elmet and Rothwell","Yorkshire and The Humber"
"65","WD5 0NX","Watford","East of England"
"66","L34 5AD","St Helens South and Whiston","North West"
"67","NN4 9YT","South Northamptonshire","East Midlands"
"68","SS2 5DH","Rochford and Southend East","East of England"
"69","CR8 4DQ","Croydon South","London"
"70","SE3 0TU","Lewisham East","London"
"71","DN36 5YN","Louth and Horncastle","East Midlands"
"72","DN3 3RN","Doncaster Central","Yorkshire and The Humber"
"73","DH9 8PJ","North Durham","North East"
"74","LL53 8YU","Dwyfor Meirionnydd","Wales"
"75","BN11 5JS","Worthing West","South East"
"76","RG1 6HN","Reading West","South East"
"77","L8 3SS","Liverpool, Riverside","North West"
"78","N20 0RT","Chipping Barnet","London"
"79","SK6 4JJ","Hazel Grove","North West"
"80","CW10 0QE","Congleton","North West"
"81","LN4 2UD","Sleaford and North Hykeham","East Midlands"
"82","SO15 3AF","Southampton, Test","South East"
"83","TS12 3LH","Middlesbrough South and East Cleveland","North East"
"84","FK2 0NY","Linlithgow and East Falkirk","Scotland"
"85","EH12 7LW","Edinburgh West","Scotland"
"86","CF10 4US","Cardiff South and Penarth","Wales"
"87","AB21 9JP","Gordon","Scotland"
"88","NP25 5UZ","Monmouth","Wales"
"89","SG9 0BF","North East Hertfordshire","East of England"
"90","WA16 6HE","Tatton","North West"
"91","DA5 3AS","Old Bexley and Sidcup","London"
"92","PH2 7HF","Perth and North Perthshire","Scotland"
"93","NN11 6YN","Daventry","East Midlands"
"94","SK11 9BJ","Tatton","North West"
"95","TA6 9HJ","Bridgwater and West Somerset","South West"
"96","AL6 9NB","Welwyn Hatfield","East of England"
"97","CF11 8ZP","Cardiff South and Penarth","Wales"
"98","PR1 3TE","Preston","North West"
"99","M21 7LZ","Manchester, Withington","North West"
"100","BT92 9BA","Fermanagh and South Tyrone","Northern Ireland"
"101","BN21 3ES","Eastbourne","South East"
"102","TF9 1JU","North Shropshire","West Midlands"
"103","YO19 6HD","York Outer","Yorkshire and The Humber"
"104","EX2 4LB","Exeter","South West"
"105","B43 7NY","Walsall South","West Midlands"
"106","GU46 7QX","North East Hampshire","South East"
"107","G76 7DJ","East Renfrewshire","Scotland"
"108","S66 1UH","Rother Valley","Yorkshire and The Humber"
"109","CF3 5QH","Cardiff South and Penarth","Wales"
"110","GL52 8FB","Tewkesbury","South West"
"111","PL17 7RD","South East Cornwall","South West"
"112","CH7 3JT","Alyn and Deeside","Wales"
"113","GU12 5SP","Surrey Heath","South East"
"114","NE61 6HG","Hexham","North East"
"115","BT34 5DD","South Down","Northern Ireland"
"116","CB3 9AP","Cambridge","East of England"
"117","PL13 1AJ","South East Cornwall","South West"
"118","GU14 0WJ","Aldershot","South East"
"119","NR13 4LF","Broadland","East of England"
"120","MK18 4DF","Buckingham","South East"
"121","ZE1 9SP","Orkney and Shetland","Scotland"
"122","HP5 1BW","Chesham and Amersham","South East"
"123","BT66 6HT","Upper Bann","Northern Ireland"
"124","N10 2LX","Chipping Barnet","London"
"125","CO15 3TY","Clacton","East of England"
"126","TR19 7BY","St Ives","South West"
"127","BD7 4PP","Bradford South","Yorkshire and The Humber"
"128","G71 8AR","Lanark and Hamilton East","Scotland"
"129","HP3 0HE","South West Hertfordshire","East of England"
"130","TN12 8ET","Tunbridge Wells","South East"
"131","KT3 6LF","Wimbledon","London"
"132","DA4 9HX","Sevenoaks","South East"
"133","AB24 2SN","Aberdeen North","Scotland"
"134","B19 3SA","Birmingham, Ladywood","West Midlands"
"135","N9 0FH","Edmonton","London"
"136","CT12 6LS","South Thanet","South East"
"137","SA18 3RT","Carmarthen East and Dinefwr","Wales"
"138","PR3 0EZ","Wyre and Preston North","North West"
"139","YO19 6JP","Selby and Ainsty","Yorkshire and The Humber"
"140","NE46 1BP","Hexham","North East"
"141","GU23 6DH","Mole Valley","South East"
"142","S66 7LH","Rother Valley","Yorkshire and The Humber"
"143","GL6 6DB","Stroud","South West"
